Region,Service,Monthly,First 12 months total,Currency,Configuration summary
US East (Ohio),Amazon EC2,205.53,2466.36,USD,"Operating system (Linux), Quantity (5), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t3.large)"
US East (Ohio),Amazon EC2,234,2808.00,USD,"Operating system (Linux), Quantity (5), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.large)"
US East (Ohio),Amazon RDS for PostgreSQL,1373.52,16482.24,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB per month), Nodes (1), Instance Type (db.m5.8xlarge), Deployment Option (Single-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Additional backup storage (200 GB)"
US East (Ohio),S3 Standard,120.37,1444.44,USD,S3 Standard storage (1000 GB per month)
US East (Ohio),Application Load Balancer,2352.43,28229.16,USD,Number of Application Load Balancers (1)
US East (Ohio),Network Load Balancer,673.43,8081.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (150 GB per hour), Average number of new TCP connections (10000 per second), Average TCP connection duration (2 seconds)"
US East (Ohio),Amazon Route 53,183.8,2205.60,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
US East (Ohio),Amazon Virtual Private Cloud (VPC),493.65,5923.80,USD,Number of NAT Gateways (1)
US East (Ohio),Amazon CloudWatch,65.55000000000001,786.60,USD,"Number of Metrics (includes detailed and custom metrics) (10), Standard Logs: Data Ingested (100 GB), Number of Custom/Cross-account events (100000), Number of Dashboards (4)"
US East (Ohio),Amazon RDS for PostgreSQL,688.833,8266.00,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (200 GB per month), Nodes (1), Instance Type (db.m5.4xlarge), Deployment Option (Single-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront)"
,,,,,
Total,,6391.113,,USD,
,,,,,
,,EC2 - Pricing changed from On-Demand to 1 Year No Upfront,,,
,,RDS - Pricing changed from On-Demand to 1 Year No Upfront,,,
,,Route 53 - Changed number of Elastic Network Instances from 4 to 2,,,
,,Network Load Balancer - Reduces number of processed bytes for TCP,,,
